file_name,lzma,bz2,zlib,wavelets
client_storage/R2017_10_06/M171006_063106.lvm,929306,198612,174529,262747,1149
client_storage/R2017_10_06/M171006_062538.lvm,929357,202884,181346,269969,1118
client_storage/R2017_10_06/M171006_052722.lvm,934690,198696,178146,263685,1275
client_storage/R2017_10_06/M171006_071841.lvm,930536,204732,187365,272529,1169
client_storage/R2017_10_06/M171006_052549.lvm,929903,199116,179127,272622,1200
client_storage/R2017_10_06/M171006_075127.lvm,925060,198596,174588,263257,1238
client_storage/R2017_10_06/M171006_064416.lvm,932300,203736,187118,269382,1249
client_storage/R2017_10_06/M171006_044635.lvm,929616,197128,176016,265523,972
client_storage/R2017_10_06/M171006_022612.lvm,927063,201700,181733,269186,1232
client_storage/R2017_10_06/M171006_084341.lvm,926459,200700,182978,270685,1207
client_storage/R2017_10_06/M171006_074028.lvm,936589,197604,180149,261160,1362
client_storage/R2017_10_06/M171006_071607.lvm,928112,201388,180252,271277,1247
client_storage/R2017_10_06/M171006_052004.lvm,933899,194852,177884,263021,1187
client_storage/R2017_10_06/M171006_085622.lvm,925094,200904,184463,272209,1316
client_storage/R2017_10_06/M171006_081121.lvm,932293,200436,183733,268403,1264
client_storage/R2017_10_06/M171006_075347.lvm,932992,198800,174647,262031,1148
client_storage/R2017_10_06/M171006_073504.lvm,931445,198888,177434,264918,1239
client_storage/R2017_10_06/M171006_052903.lvm,931642,199648,181612,264210,1230
client_storage/R2017_10_06/M171006_065825.lvm,935092,194976,180026,265462,1227
client_storage/R2017_10_06/M171006_090838.lvm,914194,199828,178771,268855,1200
client_storage/R2017_10_06/M171006_073909.lvm,918670,208012,199305,279162,1074
client_storage/R2017_10_06/M171006_051132.lvm,923526,201904,179863,269736,1079
client_storage/R2017_10_06/M171006_081259.lvm,934199,198036,174172,258165,1218
client_storage/R2017_10_06/M171006_070415.lvm,927048,201340,177919,266350,1227
client_storage/R2017_10_06/M171006_085358.lvm,925651,201832,182256,271238,1169
client_storage/R2017_10_06/M171006_081818.lvm,933358,209904,204588,284290,1322
client_storage/R2017_10_06/M171006_083128.lvm,929947,199052,176719,263476,1082
client_storage/R2017_10_06/M171006_054601.lvm,927950,198996,183985,270843,1293
